video_id	categoryId	trending_date	view_count	comment_count
DFU3bTb7dXw	22	22.24.10	89213	735
IvrX-Fa40HE	10	22.24.10	86268	700
Ive7LqP5qJs	22	22.24.10	81169	608
K3XaO23lTi8	10	22.24.10	80615	23
JugJKkNWjBU	28	22.24.10	78471	280
zcUQ3tTIJs0	15	22.24.10	77394	962
snbi8LRKPg8	20	22.24.10	76475	1035
tQ0BVyiaP6A	19	22.24.10	73724	384
TfYwPzSMs-4	22	22.24.10	67961	321
PqRA_-jtnhY	22	22.24.10	65648	233
RKmwjvGGaVA	2	22.24.10	59576	203
uhq7KN8DL4E	24	22.24.10	55526	149
lfQkjrMXZCs	25	22.24.10	50274	373
8nywM8ZZOpc	17	22.24.10	44670	148
O7q5Ohy8_Y8	24	22.24.10	40020	93
